Country/Region,Date,Confirmed,Deaths,Recovered,Active,Daily_Cases,Week
India,2020-01-22,0,0,0,0,0.0,2020-01-20/2020-01-26
India,2020-01-23,0,0,0,0,0.0,2020-01-20/2020-01-26
India,2020-01-24,0,0,0,0,0.0,2020-01-20/2020-01-26
India,2020-01-25,0,0,0,0,0.0,2020-01-20/2020-01-26
India,2020-01-26,0,0,0,0,0.0,2020-01-20/2020-01-26
India,2020-01-27,0,0,0,0,0.0,2020-01-27/2020-02-02
India,2020-01-28,0,0,0,0,0.0,2020-01-27/2020-02-02
India,2020-01-29,0,0,0,0,0.0,2020-01-27/2020-02-02
India,2020-01-30,1,0,0,1,1.0,2020-01-27/2020-02-02
India,2020-01-31,1,0,0,1,0.0,2020-01-27/2020-02-02
India,2020-02-01,1,0,0,1,0.0,2020-01-27/2020-02-02
India,2020-02-02,2,0,0,2,1.0,2020-01-27/2020-02-02
India,2020-02-03,3,0,0,3,1.0,2020-02-03/2020-02-09
India,2020-02-04,3,0,0,3,0.0,2020-02-03/2020-02-09
India,2020-02-05,3,0,0,3,0.0,2020-02-03/2020-02-09
India,2020-02-06,3,0,0,3,0.0,2020-02-03/2020-02-09
India,2020-02-07,3,0,0,3,0.0,2020-02-03/2020-02-09
India,2020-02-08,3,0,0,3,0.0,2020-02-03/2020-02-09
India,2020-02-09,3,0,0,3,0.0,2020-02-03/2020-02-09
India,2020-02-10,3,0,0,3,0.0,2020-02-10/2020-02-16
India,2020-02-11,3,0,0,3,0.0,2020-02-10/2020-02-16
India,2020-02-12,3,0,0,3,0.0,2020-02-10/2020-02-16
India,2020-02-13,3,0,0,3,0.0,2020-02-10/2020-02-16
India,2020-02-14,3,0,0,3,0.0,2020-02-10/2020-02-16
India,2020-02-15,3,0,0,3,0.0,2020-02-10/2020-02-16
India,2020-02-16,3,0,3,0,0.0,2020-02-10/2020-02-16
India,2020-02-17,3,0,3,0,0.0,2020-02-17/2020-02-23
India,2020-02-18,3,0,3,0,0.0,2020-02-17/2020-02-23
India,2020-02-19,3,0,3,0,0.0,2020-02-17/2020-02-23
India,2020-02-20,3,0,3,0,0.0,2020-02-17/2020-02-23
India,2020-02-21,3,0,3,0,0.0,2020-02-17/2020-02-23
India,2020-02-22,3,0,3,0,0.0,2020-02-17/2020-02-23
India,2020-02-23,3,0,3,0,0.0,2020-02-17/2020-02-23
India,2020-02-24,3,0,3,0,0.0,2020-02-24/2020-03-01
India,2020-02-25,3,0,3,0,0.0,2020-02-24/2020-03-01
India,2020-02-26,3,0,3,0,0.0,2020-02-24/2020-03-01
India,2020-02-27,3,0,3,0,0.0,2020-02-24/2020-03-01
India,2020-02-28,3,0,3,0,0.0,2020-02-24/2020-03-01
India,2020-02-29,3,0,3,0,0.0,2020-02-24/2020-03-01
India,2020-03-01,3,0,3,0,0.0,2020-02-24/2020-03-01
India,2020-03-02,5,0,3,2,2.0,2020-03-02/2020-03-08
India,2020-03-03,5,0,3,2,0.0,2020-03-02/2020-03-08
India,2020-03-04,28,0,3,25,23.0,2020-03-02/2020-03-08
India,2020-03-05,30,0,3,27,2.0,2020-03-02/2020-03-08
India,2020-03-06,31,0,3,28,1.0,2020-03-02/2020-03-08
India,2020-03-07,34,0,3,31,3.0,2020-03-02/2020-03-08
India,2020-03-08,39,0,3,36,5.0,2020-03-02/2020-03-08
India,2020-03-09,43,0,3,40,4.0,2020-03-09/2020-03-15
India,2020-03-10,56,0,4,52,13.0,2020-03-09/2020-03-15
India,2020-03-11,62,1,4,57,6.0,2020-03-09/2020-03-15
India,2020-03-12,73,1,4,68,11.0,2020-03-09/2020-03-15
India,2020-03-13,82,2,4,76,9.0,2020-03-09/2020-03-15
India,2020-03-14,102,2,4,96,20.0,2020-03-09/2020-03-15
India,2020-03-15,113,2,13,98,11.0,2020-03-09/2020-03-15
India,2020-03-16,119,2,13,104,6.0,2020-03-16/2020-03-22
India,2020-03-17,142,3,14,125,23.0,2020-03-16/2020-03-22
India,2020-03-18,156,3,14,139,14.0,2020-03-16/2020-03-22
India,2020-03-19,194,4,15,175,38.0,2020-03-16/2020-03-22
India,2020-03-20,244,5,20,219,50.0,2020-03-16/2020-03-22
India,2020-03-21,330,4,23,303,86.0,2020-03-16/2020-03-22
India,2020-03-22,396,7,27,362,66.0,2020-03-16/2020-03-22
India,2020-03-23,499,10,27,462,103.0,2020-03-23/2020-03-29
India,2020-03-24,536,10,40,486,37.0,2020-03-23/2020-03-29
India,2020-03-25,657,12,43,602,121.0,2020-03-23/2020-03-29
India,2020-03-26,727,20,45,662,70.0,2020-03-23/2020-03-29
India,2020-03-27,887,20,73,794,160.0,2020-03-23/2020-03-29
India,2020-03-28,987,24,84,879,100.0,2020-03-23/2020-03-29
India,2020-03-29,1024,27,95,902,37.0,2020-03-23/2020-03-29
India,2020-03-30,1251,32,102,1117,227.0,2020-03-30/2020-04-05
India,2020-03-31,1397,35,123,1239,146.0,2020-03-30/2020-04-05
India,2020-04-01,1998,58,148,1792,601.0,2020-03-30/2020-04-05
India,2020-04-02,2543,72,191,2280,545.0,2020-03-30/2020-04-05
India,2020-04-03,2567,72,192,2303,24.0,2020-03-30/2020-04-05
India,2020-04-04,3082,86,229,2767,515.0,2020-03-30/2020-04-05
India,2020-04-05,3588,99,229,3260,506.0,2020-03-30/2020-04-05
India,2020-04-06,4778,136,375,4267,1190.0,2020-04-06/2020-04-12
India,2020-04-07,5311,150,421,4740,533.0,2020-04-06/2020-04-12
India,2020-04-08,5916,178,506,5232,605.0,2020-04-06/2020-04-12
India,2020-04-09,6725,226,620,5879,809.0,2020-04-06/2020-04-12
India,2020-04-10,7598,246,774,6578,873.0,2020-04-06/2020-04-12
India,2020-04-11,8446,288,969,7189,848.0,2020-04-06/2020-04-12
India,2020-04-12,9205,331,1080,7794,759.0,2020-04-06/2020-04-12
India,2020-04-13,10453,358,1181,8914,1248.0,2020-04-13/2020-04-19
India,2020-04-14,11487,393,1359,9735,1034.0,2020-04-13/2020-04-19
India,2020-04-15,12322,405,1432,10485,835.0,2020-04-13/2020-04-19
India,2020-04-16,13430,448,1768,11214,1108.0,2020-04-13/2020-04-19
India,2020-04-17,14352,486,2041,11825,922.0,2020-04-13/2020-04-19
India,2020-04-18,15722,521,2463,12738,1370.0,2020-04-13/2020-04-19
India,2020-04-19,17615,559,2854,14202,1893.0,2020-04-13/2020-04-19
India,2020-04-20,18539,592,3273,14674,924.0,2020-04-20/2020-04-26
India,2020-04-21,20080,645,3975,15460,1541.0,2020-04-20/2020-04-26
