Country/Region,Week,Daily_Cases
India,2020-01-20/2020-01-26,0.0
India,2020-01-27/2020-02-02,2.0
India,2020-02-03/2020-02-09,1.0
India,2020-02-10/2020-02-16,0.0
India,2020-02-17/2020-02-23,0.0
India,2020-02-24/2020-03-01,0.0
India,2020-03-02/2020-03-08,36.0
India,2020-03-09/2020-03-15,74.0
India,2020-03-16/2020-03-22,283.0
India,2020-03-23/2020-03-29,628.0
India,2020-03-30/2020-04-05,2564.0
India,2020-04-06/2020-04-12,5617.0
India,2020-04-13/2020-04-19,8410.0
India,2020-04-20/2020-04-26,10275.0
India,2020-04-27/2020-05-03,14615.0
India,2020-05-04/2020-05-10,24656.0
India,2020-05-11/2020-05-17,28537.0
India,2020-05-18/2020-05-24,42838.0
India,2020-05-25/2020-05-31,52073.0
India,2020-06-01/2020-06-07,66877.0
India,2020-06-08/2020-06-14,74938.0
India,2020-06-15/2020-06-21,92858.0
India,2020-06-22/2020-06-28,123036.0
India,2020-06-29/2020-07-05,149095.0
India,2020-07-06/2020-07-12,180841.0
India,2020-07-13/2020-07-19,239952.0
India,2020-07-20/2020-07-26,317410.0
India,2020-07-27/2020-08-02,44457.0
South Africa,2020-01-20/2020-01-26,0.0
South Africa,2020-01-27/2020-02-02,0.0
South Africa,2020-02-03/2020-02-09,0.0
South Africa,2020-02-10/2020-02-16,0.0
South Africa,2020-02-17/2020-02-23,0.0
South Africa,2020-02-24/2020-03-01,0.0
South Africa,2020-03-02/2020-03-08,3.0
South Africa,2020-03-09/2020-03-15,48.0
South Africa,2020-03-16/2020-03-22,223.0
South Africa,2020-03-23/2020-03-29,1006.0
South Africa,2020-03-30/2020-04-05,375.0
South Africa,2020-04-06/2020-04-12,518.0
South Africa,2020-04-13/2020-04-19,985.0
South Africa,2020-04-20/2020-04-26,1388.0
South Africa,2020-04-27/2020-05-03,2237.0
South Africa,2020-05-04/2020-05-10,3232.0
South Africa,2020-05-11/2020-05-17,5500.0
South Africa,2020-05-18/2020-05-24,7068.0
South Africa,2020-05-25/2020-05-31,10100.0
South Africa,2020-06-01/2020-06-07,15602.0
South Africa,2020-06-08/2020-06-14,21753.0
South Africa,2020-06-15/2020-06-21,27264.0
South Africa,2020-06-22/2020-06-28,40832.0
South Africa,2020-06-29/2020-07-05,58616.0
South Africa,2020-07-06/2020-07-12,79492.0
South Africa,2020-07-13/2020-07-19,88086.0
South Africa,2020-07-20/2020-07-26,81105.0
South Africa,2020-07-27/2020-08-02,7096.0
US,2020-01-20/2020-01-26,4.0
US,2020-01-27/2020-02-02,3.0
US,2020-02-03/2020-02-09,3.0
US,2020-02-10/2020-02-16,2.0
US,2020-02-17/2020-02-23,2.0
US,2020-02-24/2020-03-01,15.0
US,2020-03-02/2020-03-08,421.0
US,2020-03-09/2020-03-15,2517.0
US,2020-03-16/2020-03-22,30793.0
US,2020-03-23/2020-03-29,107444.0
US,2020-03-30/2020-04-05,196368.0
US,2020-04-06/2020-04-12,218949.0
US,2020-04-13/2020-04-19,199853.0
US,2020-04-20/2020-04-26,212143.0
US,2020-04-27/2020-05-03,193093.0
US,2020-05-04/2020-05-10,172473.0
US,2020-05-11/2020-05-17,159048.0
US,2020-05-18/2020-05-24,158157.0
US,2020-05-25/2020-05-31,147835.0
US,2020-06-01/2020-06-07,145246.0
US,2020-06-08/2020-06-14,149996.0
US,2020-06-15/2020-06-21,187401.0
US,2020-06-22/2020-06-28,268097.0
US,2020-06-29/2020-07-05,341260.0
US,2020-07-06/2020-07-12,413818.0
US,2020-07-13/2020-07-19,468318.0
US,2020-07-20/2020-07-26,460663.0
US,2020-07-27/2020-08-02,56336.0
